title,company,city,province,country,posting_time,skills
QAOps Engineer (Remote Pakistan),Affinity,Lahore,Punjab,Pakistan,5/2/2024,['azure']
"Curriculum Developer, Trilogy (Remote) - $100,000/year USD",Crossover,Lahore,Punjab,Pakistan,5/10/2024,"['python', 'javascript', 'ai']"
DevOps Presales Engineer,IT Consulting And Services (ITCS),Lahore,Punjab,Pakistan,5/9/2024,"['aws', 'azure', 'docker', 'devops', 'kubernetes']"
Principal Engineer (Relocation to Malaysia),Deriv,Lahore,Punjab,Pakistan,4/29/2024,"['aws', 'docker', 'kubernetes', 'postgresql']"
Quality Assurance Automation Engineer,Sukuk Technologies,Lahore,Punjab,Pakistan,3/20/2024,['python']
Software Test Engineer,PakWheels.com,Lahore,Punjab,Pakistan,3/19/2024,"['python', 'firebase', 'sql']"
Software Engineer - ReactJS/Flutter,Howmuch,Lahore,Punjab,Pakistan,5/11/2023,[]
Cloud Engineer,DataCrypt,Lahore,Punjab,Pakistan,5/10/2024,"['python', 'aws', 'azure', 'docker', 'kubernetes']"
Senior Python Engineer,Tkxel,Lahore,Punjab,Pakistan,5/7/2024,['python']
Senior Software Engineer - Python,Creative Chaos,Lahore,Punjab,Pakistan,4/3/2023,"['python', 'flask', 'azure', 'postgresql', 'jira', 'mysql']"
Senior Python Developer,TCP Software,Lahore District,Punjab,Pakistan,5/3/2024,"['python', 'aws', 'django', 'flask']"
"Software Development Engineer, IgniteTech (Remote) - $100,000/year USD",Crossover,Lahore,Punjab,Pakistan,5/10/2024,['ai']
SQA Engineer,HR Force Int.,Lahore,Punjab,Pakistan,5/10/2024,['python']
"Associate Software Engineer, Trilogy (Remote) - $60,000/year USD",Crossover,Lahore,Punjab,Pakistan,5/10/2024,"['python', 'aws', 'ai']"
Developer,Glowingsoft Technologies,Lahore District,Punjab,Pakistan,5/3/2024,"['git', 'jira']"
Front End Developer (React + Figma),HireOn,Lahore,Punjab,Pakistan,5/4/2024,"['git', 'javascript', 'react']"
Deep Learning Voice Engineer,ibex,Lahore,Punjab,Pakistan,3/26/2024,"['python', 'tensorflow', 'git', 'ai', 'pytorch', 'nlp']"
Senior Data Science Engineer,ACE Money Transfer,Lahore,Punjab,Pakistan,3/7/2024,"['aws', 'azure', 'tableau', 'sql', 'hadoop']"
